Saison;Date;Group;Time;LV_larvae_Numbers_of_Individual;TC_larvae_Numbers_of_Individual
3;15.06.2023;Control1;Before;1;2
3;15.06.2023;Treatment;Before;1;1
3;16.06.2023;Control1;Before;1;2
3;16.06.2023;Treatment;Before;1;1
3;17.06.2023;Control1;Before;1;1
3;17.06.2023;Treatment;Before;2;0
3;18.06.2023;Control1;Before;1;1
3;18.06.2023;Treatment;Before;3;0
3;19.06.2023;Control1;Before;0;1
3;19.06.2023;Treatment;Before;2;2
3;18.06.2024;Control1;After;2;0
3;18.06.2024;Treatment;After;4;1
3;19.06.2024;Control1;After;0;1
3;19.06.2024;Treatment;After;7;8
3;20.06.2024;Control1;After;2;0
3;20.06.2024;Treatment;After;7;0
3;21.06.2024;Control1;After;3;0
3;21.06.2024;Treatment;After;5;0
3;22.06.2024;Control1;After;0;1
3;22.06.2024;Treatment;After;14;1
