Number;2012;2013;2014;2015;2016;Sex;Residency;Catchability_max;Catchability_mean;average_mass;average_SVL
R000X;0;1;0;0;0;male;Resident;4;4;3,26;4,9
R004Y;1;0;0;0;0;male;Resident;1;1;2,99;5
R00Y0;0;1;0;0;0;female;Resident;5;5;2,36;5
R0411;1;1;1;1;1;male;Floater;3;2,2;3,14;5,02
R063X;1;0;0;0;0;female;Resident;1;1;3,46;5
R07Y7;1;1;1;1;1;female;Floater;6;4,2;2,914;5
R0911;0;1;1;0;0;male;Floater;3;2;3,415;5
R094X;0;0;0;0;1;female;Resident;1;1;2,76;4,6
R096X;0;0;1;0;0;female;Resident;1;1;3,7;5,4
R098X;0;0;1;0;0;female;Resident;1;1;2,51;4,9
R0999;1;0;0;0;0;male;Resident;2;2;4,08;5,3
R09X2;0;0;0;0;1;male;Resident;2;2;2,89;5
R09X5;0;0;0;1;0;male;Resident;3;3;3,05;4,8
R09X6;0;0;0;1;0;male;Floater;2;2;2,73;4,6
R09X7;0;0;0;0;1;male;Floater;3;3;3,27;5
R09X8;0;0;0;1;0;male;Resident;3;3;3,22;4,9
R09X9;0;0;0;1;1;female;Floater;2;1,5;2,765;4,9
R0X30;1;1;1;1;0;male;Floater;2;1,75;3,7525;5,05
R0X31;1;1;0;0;0;female;Floater;3;2,5;3,68;5,3
R0X33;1;1;0;0;0;male;Floater;4;2,5;2,723333333;4,8
R0X35;1;1;1;1;1;female;Resident;3;1,6;3,115;5,133333333
R0X36;1;0;0;0;0;female;Resident;2;2;3,61;5,1
R0X37;1;0;0;0;0;male;Resident;2;2;3,2;5,3
R0X38;1;0;0;0;0;female;Floater;2;2;2,37;5
R0X3X;1;0;1;1;1;male;Resident;2;1,25;3,544;5,32
R0X42;0;0;1;0;0;male;Resident;1;1;3,04;5
R0X73;1;0;0;0;0;female;Resident;2;2;3,58;5
R1024;1;1;0;0;0;female;Resident;2;1,5;2,925;5,15
R1031;1;1;1;1;1;male;Floater;4;2,4;2,924;4,88
R1134;0;1;1;0;0;female;Floater;2;2;2,92;5
R117X;1;0;1;0;1;female;Resident;3;2;3,37;5
R1201;1;0;0;0;0;male;Resident;1;1;3,13;5
R1214;1;1;1;0;0;female;Floater;3;2,333333333;2,89;5,2
R121X-W;1;0;0;0;0;female;Resident;2;2;3,68;4,95
R1626;0;0;1;0;0;male;Resident;2;2;2,81;4,9
R2010;1;1;0;0;0;female;Floater;2;1,5;2,983333333;4,966666667
R201X;0;0;1;0;0;female;Resident;1;1;2,59;5
R202X;0;1;1;0;0;male;Floater;2;2;3,15;4,95
R203X;0;0;0;1;1;female;Resident;3;2;3,195;5,1
R2042;0;1;1;1;1;female;Floater;3;1,75;3,46;5,38
R204X;0;1;1;1;1;male;Floater;2;1,25;3,6025;5,25
R2066;0;0;1;0;0;male;Resident;1;1;2,78;4,8
R206X;0;0;1;1;0;male;Floater;4;4;3,096666667;4,9
R207X;0;0;1;0;0;female;Resident;2;2;2,11;4,5
R2088;0;1;0;0;0;male;Resident;1;1;3,08;5,1
R209X;0;1;1;0;0;female;Floater;3;2;2,765;5,1
R20X6;0;0;1;1;0;female;Resident;3;2;2,426666667;4,833333333
R20X8;0;0;0;1;1;female;Floater;4;3;2,63;4,75
R20X9;0;0;1;0;1;male;Floater;2;1,5;3,29;5,05
R2108;1;1;1;1;1;female;Floater;3;1,6;3,472;5,26
R2120;0;0;0;1;1;female;Floater;4;2,5;3,19;5,1
R2135;1;1;1;1;1;female;Floater;2;1,2;3,572;5,18
R2161;1;0;0;0;0;female;Resident;1;1;4,43;5,2
R2186;1;1;1;0;0;male;Resident;3;2,333333333;3,4;5,133333333
R218X;0;0;0;1;1;female;Resident;3;2;2,79;4,8
R21X6;0;0;0;1;1;male;Floater;4;2,5;3,28;5
R21X9-W;1;1;0;0;0;female;Resident;2;2;3,686666667;5,3
R21XX;0;0;0;1;1;female;Floater;3;2;3,665;5,15
R2208;0;1;1;0;0;female;Floater;3;2,5;2,975;5,25
R220H;0;1;0;1;0;male;Resident;1;1;3,44;5,05
R2213;1;1;1;1;1;female;Resident;3;1,8;3,12;5,166666667
R2218;0;1;1;1;0;male;Floater;2;1,333333333;3,653333333;5
R2223;0;1;0;0;0;female;Resident;2;2;3,03;5,4
R2226;1;0;0;0;0;female;Resident;1;1;3,3;5,2
R222Y;0;1;0;0;0;female;Resident;1;1;3,22;5,2
R2236;0;0;1;0;0;female;Resident;1;1;2,56;5,1
R223X;0;0;0;0;1;female;Resident;1;1;2,66;4,9
R223Y;1;1;0;0;0;female;Resident;1;1;3,725;5,1
R2253;0;0;0;1;1;male;Floater;3;2,5;3,295;5
