Gewaesser;1;2;3
1;17,7;18,3;20,5
2;18,4;22,1;24,4
3;16,7;16,8;18,2
4;18,9;19,5;22,4
5;18,4;22,9;23,4
6;18,3;20,4;22,1
7;21,5;19,2;20,8
8;20,2;22,8;23,1
9;18,9;21,2;21,8
10;17,8;17,1;17,2
11;13,7;17,1;17,3
12;14,4;18,3;18,1
13;16,6;23,2;23,9
14;18,6;19,4;19,9
15;12,1;NA;NA
41;15,5;23;25,3
42;16,9;21,7;22,1
43;16,6;20,2;22,2
47;18,8;20,5;22,1
49;16,6;18,2;22,1
50;17;23;25,3
51;15,3;19,9;20,4
52;15,2;17,4;20,5
53;17,3;17,6;17,5
54;17,1;19,8;21,4
55;16,1;18,9;19,9
3b;14,9;17,6;19,8
6a;18,1;18,6;20,7
7a;19,1;22,3;22,9
7bc;17,8;17,6;21,9
8a;14,9;20,9;18,7
PI;18,4;23,5;23,8
PII;15,3;18,4;20,7
PIIa;18,6;18,1;18,8
PIII;14,5;17,8;18,9
