site,foodtrees
92408,27
92732,18
92945,27
92946,21
92949,21
92950,13
93056,20
93057,28
93058,21
93268,25
93270,20
93271,24
93272,28
93273,21
93274,25
93275,27
93380,24
93381,29
93382,24
93383,26
93592,22
93593,23
93594,21
93595,23
93596,27
93597,29
93598,26
93599,24
93600,21
93704,0
93705,17
93706,25
93707,18
93708,18
93916,29
93917,20
93918,15
93919,21
93920,20
93921,11
93922,21
93923,29
93924,28
93925,29
94029,29
94030,16
94031,20
94032,18
94033,25
94239,20
94240,29
94241,30
94242,18
94243,30
94245,24
94246,7
94247,17
94248,14
94249,23
94354,25
94356,24
94357,19
94358,28
94570,15
94571,27
94572,26
94573,25
94574,26
94575,22
94682,12
94683,27
94895,25
94896,12
94897,22
94898,24
94899,19
94900,19
95005,23
95006,21
95007,15
95008,29
95218,26
95219,29
95220,13
95221,29
95222,19
95223,23
95225,4
95329,21
95330,25
95331,27
95332,28
95333,16
95541,22
95542,21
95543,27
95544,20
95545,28
95546,26
95547,26
95548,12
95549,28
95550,8
95654,28
95655,28
95656,22
95657,28
95658,16
95866,18
95868,18
95869,0
95870,11
95871,22
95872,22
95873,14
95874,20
95875,23
95979,27
95980,19
95981,9
95982,27
95983,25
96195,4
96196,18
96197,23
96198,30
96199,22
96200,17
96307,21
96308,17
96521,13
96522,24
96523,16
96524,28
96525,18
96632,25
96840,26
96841,22
96842,22
96848,19
96953,26
96954,18
96956,29
97164,17
97165,22
97168,21
97170,15
97172,24
97278,24
97279,20
97280,28
97281,29
97282,19
97283,20
97490,19
97492,29
97493,17
97494,27
97495,5
97496,16
97497,27
97499,12
97500,5
97604,21
97605,16
97606,22
97607,21
97608,11
97813,9
97814,26
97815,17
97816,16
97817,22
97818,9
97819,24
97820,26
97821,23
97822,25
97823,24
97824,29
97825,23
97927,12
97928,26
97929,29
97930,24
97931,24
97932,25
97933,17
98137,16
98138,22
98139,30
98140,26
98141,20
98142,18
98143,29
98144,28
98145,27
98146,27
98147,24
98148,18
98149,29
98150,12
98252,16
98253,26
98254,14
98255,30
98256,22
98257,27
98258,26
98461,27
98462,9
98463,27
98464,25
98465,28
98466,0
98467,30
98468,30
98469,29
98470,28
98471,29
98472,23
98473,29
98474,30
98576,25
98577,9
98578,7
98579,22
98580,29
98581,29
98582,29
98784,24
98785,27
98786,30
98787,17
98788,17
98789,15
98790,21
98791,19
98792,26
98793,27
98794,29
98795,28
98797,30
98901,17
98902,4
98903,25
98904,29
98905,29
99109,26
99110,8
99111,22
99112,0
99113,8
99114,23
99115,27
99116,26
99117,29
99118,22
99226,29
99227,6
99228,14
99229,19
99230,21
99435,30
99436,20
99437,12
99438,16
99439,27
99440,21
99441,19
99442,30
99552,5
99553,19
99554,26
99761,15
99762,26
99763,22
99764,22
99765,25
99766,18
99877,12
99878,29
99879,16
100089,25
100090,27
100091,26
100177,28
100202,5
100411,10
100412,30
100413,14
100414,21
100415,28
100416,26
100527,24
100528,30
100737,11
100738,19
100739,27
100740,27
100743,27
100744,29
100853,21
100854,22
100857,26
101064,21
101065,26
101066,27
101067,26
101068,30
101069,30
101070,29
101072,30
101073,29
101178,0
101179,30
101180,29
101181,30
101182,30
101388,26
101389,29
101390,29
101391,28
101392,2
101393,29
101394,26
101395,27
101396,13
101397,27
101398,30
101503,30
101504,23
101505,29
101506,29
101507,28
101508,27
101712,28
101713,27
101714,24
101715,21
101716,0
101717,23
101718,28
101719,30
101720,30
101721,23
101722,30
101828,25
101829,28
101830,30
102035,27
102038,25
102039,25
102040,26
102041,21
102042,25
102043,30
102150,16
102151,25
102152,27
102154,9
102359,22
102360,22
102361,25
102362,30
102368,22
102476,16
102477,29
102685,28
102686,26
102687,24
102688,25
102805,26
259000,21
259001,14
259208,26
259217,21
259218,24
259425,22
259426,26
259434,17
259650,25
264641,16
264642,22
264643,9
264858,26
268110,30
270052,15
270053,23
270269,20
270270,30
342688,21
342689,26
342796,21
342798,24
342903,13
342904,23
342905,16
342906,29
342907,23
343012,17
343013,25
343014,22
343015,30
343016,11
343121,21
343122,16
343123,21
343124,20
343125,22
343232,24
343233,21
343234,25
